Order_ID,Order_Date,Customer_ID,Product_ID,Category,Sub_Category,Segment,Region,City,Quantity,Sales,Discount,Profit
ORD-2023-02441,01-01-2023 00:00,CUST-0177,PROD-0495,Office Supplies,Binders,Corporate,South,Chennai,5,512.29,0.05,54.58
ORD-2023-02315,01-01-2023 00:00,CUST-1113,PROD-0453,Furniture,Bookcases,Consumer,North,Lucknow,3,2649.87,0.05,314.56
ORD-2023-06905,01-01-2023 00:00,CUST-0724,PROD-0273,Technology,Phones,Consumer,North,Delhi,3,1215,0,265.47
ORD-2023-09283,01-01-2023 00:00,CUST-0376,PROD-0327,Furniture,Bookcases,Corporate,North,Delhi,3,2541.15,0.1,268.59
ORD-2023-06301,01-01-2023 00:00,CUST-0172,PROD-0445,Office Supplies,Binders,Consumer,East,Bhubaneswar,6,590.53,0.2,35.31
ORD-2023-01487,01-01-2023 00:00,CUST-0713,PROD-0122,Office Supplies,Binders,Corporate,West,Ahmedabad,2,419,0.05,60.46
ORD-2023-07005,01-01-2023 00:00,CUST-0650,PROD-0113,Technology,Phones,Consumer,North,Delhi,5,1479.08,0.15,133.31
ORD-2023-08282,01-01-2023 00:00,CUST-0992,PROD-0278,Office Supplies,Paper,Consumer,North,Jaipur,5,1127.89,0.3,-8.79
ORD-2023-05759,01-01-2023 00:00,CUST-1093,PROD-0362,Technology,Accessories,Home Office,West,Mumbai,4,2316.2,0.1,274.16
ORD-2023-05082,01-01-2023 00:00,CUST-0370,PROD-0289,Furniture,Chairs,Corporate,East,Patna,4,2608.88,0,320.07
ORD-2023-07362,01-01-2023 00:00,CUST-0712,PROD-0306,Technology,Accessories,Corporate,South,Kochi,4,2511.24,0.15,96.76
ORD-2023-02258,01-01-2023 00:00,CUST-0952,PROD-0020,Furniture,Chairs,Corporate,North,Lucknow,4,1709.29,0.1,106.54
ORD-2023-03673,01-01-2023 00:00,CUST-0503,PROD-0488,Technology,Accessories,Home Office,North,Delhi,6,3496.26,0.3,294.64
